annotation_id,expert,label_studio_filename,actual_image_filename,image_path,dataset,dataset_id,style,lookup_key,simplified_text,human_score,is_iaa,clip_score
0,Expert_A,0005.png,0005_asset_asset_137_realistic.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0005_asset_asset_137_realistic.png,asset,137,realistic,asset_137,"In 1810, the County Seat was later moved to the City of Daphne in 1868.",2,False,0.22309839725494385
1,Expert_A,0008_IAA.png,0008_onestopenglish_onestop_092_storybook.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0008_onestopenglish_onestop_092_storybook.png,onestop,092,storybook,onestop_092,"One of the boyfriends wrote to me and said, Listen, shes not mad but Cynthia found out.",2,True,0.1752212792634964
2,Expert_A,0009_IAA.png,0009_wikipedia_wikipedia_107_artistic.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0009_wikipedia_wikipedia_107_artistic.png,wikipedia,107,artistic,wikipedia_107,Many people called The 2002 Commonwealth Games a huge success with the stadium gaining positive reviews for its atmosphere and architectural design.,2,True,0.22750183939933777
3,Expert_A,0010_IAA.png,0010_wikipedia_wikipedia_099_3d rendered.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0010_wikipedia_wikipedia_099_3d rendered.png,wikipedia,099,3d rendered,wikipedia_099,"P re David 's Deer (Elaphurus davidianus,)Milu in Chinese (), is a species of deer known only in zoos.",9,True,0.1813705712556839
4,Expert_A,0013.png,0013_asset_asset_400_technical.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0013_asset_asset_400_technical.png,asset,400,technical,asset_400,Two eclipses by Psyche were seen in march and may of 2002.,0,False,0.24811358749866486
5,Expert_A,0024.png,0024_onestopenglish_onestop_340_artistic.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0024_onestopenglish_onestop_340_artistic.png,onestop,340,artistic,onestop_340,"I will never forget the wonderful memories he has given us, like that magical night in Moscow.",12,False,0.2013680338859558
6,Expert_A,0025.png,0025_asset_asset_207_realistic.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0025_asset_asset_207_realistic.png,asset,207,realistic,asset_207,"The museum, Pearson Field, and Fort Vancouver National Historic Site, are part of the Vancouver National Historic Reserve.",2,False,0.2773015797138214
7,Expert_A,0027_IAA.png,0027_asset_asset_271_minimalistic.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0027_asset_asset_271_minimalistic.png,asset,271,minimalistic,asset_271,"In March 2001, the World Wrestling Federation bought World Championship Wrestling.",0,True,0.2583988308906555
8,Expert_A,0028_IAA.png,0028_wikipedia_wikipedia_322_3d rendered.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0028_wikipedia_wikipedia_322_3d rendered.png,wikipedia,322,3d rendered,wikipedia_322,Phoenix is a robotic spacecraft on a space exploration mission on Mars under the Mars Scout Program.,17,True,0.2073184996843338
9,Expert_A,0031.png,0031_onestopenglish_onestop_227_cartoon.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0031_onestopenglish_onestop_227_cartoon.png,onestop,227,cartoon,onestop_227,What is it like to look at the last of something?,0,False,0.19915074110031128
